Population Rank,City,County
1,Jacksonville,Duval
2,Miami,Miami-Dade
3,Tampa,Hillsborough
4,Orlando,Orange
5,St. Petersburg,Pinellas
6,Hialeah,Miami-Dade
7,Port St. Lucie,St. Lucie
8,Tallahassee,Leon
9,Cape Coral,Lee
10,Fort Lauderdale,Broward
11,Pembroke Pines,Broward
12,Hollywood,Broward
13,Gainesville,Alachua
14,Miramar,Broward
15,Coral Springs,Broward
16,Palm Bay,Brevard
17,West Palm Beach,Palm Beach
18,Clearwater,Pinellas
19,Lakeland,Polk
20,Pompano Beach,Broward
21,Miami Gardens,Miami-Dade
22,Davie,Broward
23,Boca Raton,Palm Beach
24,Sunrise,Broward
25,Deltona,Volusia
26,Plantation,Broward
27,Palm Coast,Flagler
28,Deerfield Beach,Broward
29,Fort Myersâ€ ,Lee
30,Melbourne,Brevard
31,Miami Beach,Miami-Dade
32,Largo,Pinellas
33,Homestead,Miami-Dade
34,Boynton Beach,Palm Beach
35,Kissimmee,Osceola
36,Doral,Miami-Dade
37,North Port,Sarasota
38,Lauderhill,Broward
39,Daytona Beach,Volusia
40,Tamarac,Broward
41,Weston,Broward
42,Delray Beach,Palm Beach
43,Ocala,Marion
44,Port Orange,Volusia
45,Wellington,Palm Beach
46,Sanford,Seminole
47,Jupiter,Palm Beach
48,North Miami,Miami-Dade
49,Palm Beach Gardens,Palm Beach
50,St. Cloud,Osceola
51,Margate,Broward
52,Coconut Creek,Broward
53,Bradenton,Manatee
54,Apopka,Orange
55,Sarasota,Sarasota
56,Pensacola,Escambia
57,Bonita Springs,Lee
58,Pinellas Park,Pinellas
59,Coral Gables,Miami-Dade
60,Winter Haven,Polk
61,Titusville,Brevard
62,Fort Pierce,St. Lucie
63,Ocoee,Orange
64,Winter Garden,Orange
65,Altamonte Springs,Seminole
66,Cutler Bay,Miami-Dade
67,North Lauderdale,Broward
68,Oakland Park,Broward
69,Greenacres,Palm Beach
70,North Miami Beach,Miami-Dade
71,Ormond Beach,Volusia
72,Clermont,Lake
73,Lake Worth Beach,Palm Beach
74,Hallandale Beach,Broward
75,Aventura,Miami-Dade
76,Oviedo,Seminole
77,Plant City,Hillsborough
78,Royal Palm Beach,Palm Beach
79,Winter Springs,Seminole
80,Riviera Beach,Palm Beach
81,DeLand,Volusia
82,Estero,Lee
83,Dunedin,Pinellas
84,Lauderdale Lakes,Broward
85,Parkland,Broward
86,Cooper City,Broward
87,Panama City,Bay
88,Dania Beach,Broward
89,Miami Lakes,Miami-Dade
90,New Smyrna Beach,Volusia
91,Winter Park,Orange
92,Casselberry,Seminole
93,Rockledge,Brevard
94,Crestview,Okaloosa
95,Leesburg,Lake
96,Palm Springs,Palm Beach
97,Temple Terrace,Hillsborough
98,Haines City,Polk
99,Key West,Monroe
100,West Melbourne,Brevard
